,accuracy,recall,precision,f1
3000rf,0.6670416942422237,0.276004177547139,0.5437135354169234,0.2953191694772962
3000Kn,0.6058239576439444,0.32044730965662055,0.4676236101989407,0.3480809021120203
3000dt5,0.6487756452680344,0.2974647448743219,0.3464616360952111,0.2964894314131418
3000dt8,0.6642620780939776,0.3592475217262879,0.45642962614303517,0.375206811181324
3608rf,0.6685492801771871,0.282723888355472,0.4824243303346089,0.29833697029077144
3608Kn,0.6210409745293465,0.35316808536157623,0.4813641688884745,0.372075107721193
3608dt5,0.645404208194906,0.29782864853191504,0.3571088832231804,0.29911529643330775
3608dt8,0.6743078626799557,0.3669242828278959,0.4880896131196403,0.38683912355744215
