,accuracy,recall,precision,f1
3000rf,0.6845238095238095,0.285448613968193,0.5804672021064943,0.30314589896513183
3000Kn,0.6157407407407407,0.3536112349418161,0.5077116645377042,0.37274108748854795
3000dt5,0.6626984126984127,0.34479533781157845,0.4095820781477817,0.3476327061175414
3000dt8,0.6812169312169312,0.3948505778435392,0.5516144163655092,0.4083537840941475
