,accuracy,recall,precision,f1
3000rf,0.686962276637988,0.30378622191939225,0.606171683788426,0.32249658928408126
3000Kn,0.6366644606221046,0.3611206136367979,0.5357160313918883,0.3944340230067942
3000dt5,0.6637988087359364,0.3176277356616073,0.4204474782449976,0.31878545270679626
3000dt8,0.6757114493712773,0.4067181885953977,0.5639347457508762,0.4243401951169492
3608rf,0.6932447397563677,0.3068924539512775,0.6337031987223452,0.3235460236689699
3608Kn,0.6312292358803987,0.38945004423495366,0.5316001419489902,0.4158170394508887
3608dt5,0.6677740863787376,0.32916991167787,0.3878585272345187,0.3230746567856561
3608dt8,0.6932447397563677,0.4165274930127472,0.5550718564402789,0.42084030003043266
